Element,Wavelength_A
Mg I,2025.824
Mg I,2520.799
Mg I,2521.212
Mg I,2521.667
Mg I,2522.167
Mg I,2522.721
Mg I,2523.336
Mg I,2524.022
Mg I,2524.027
Mg I,2524.789
Mg I,2525.13
Mg I,2525.651
Mg I,2526.3900000000003
Mg I,2526.555
Mg I,2526.625
Mg I,2527.73
Mg I,2527.8360000000002
Mg I,2528.226
Mg I,2528.992
Mg I,2529.509
Mg I,2530.1730000000002
Mg I,2530.441
Mg I,2531.458
Mg I,2531.458
Mg I,2532.118
Mg I,2532.408
Mg I,2532.4610000000002
Mg I,2533.748
Mg I,2533.748
Mg I,2534.071
Mg I,2534.868
Mg I,2535.174
Mg I,2536.366
Mg I,2536.464
Mg I,2536.464
Mg I,2537.796
Mg I,2538.424
Mg I,2539.087
Mg I,2539.718
Mg I,2539.718
Mg I,2541.325
Mg I,2542.348
Mg I,2542.348
Mg I,2542.366
Mg I,2543.6639999999998
Mg I,2543.6639999999998
Mg I,2545.603
Mg I,2546.302
Mg I,2546.302
Mg I,2547.21
Mg I,2548.512
Mg I,2548.512
Mg I,2550.9030000000002
Mg I,2551.1600000000003
Mg I,2551.1600000000003
Mg I,2553.2560000000003
Mg I,2554.565
Mg I,2554.565
Mg I,2557.226
Mg I,2557.226
Mg I,2557.573
Mg I,2560.942
Mg I,2562.259
Mg I,2562.259
Mg I,2564.936
Mg I,2564.936
Mg I,2566.1009999999997
Mg I,2570.917
Mg I,2572.244
Mg I,2572.244
Mg I,2574.942
Mg I,2574.942
Mg I,2577.264
Mg I,2580.587
Mg I,2584.212
Mg I,2585.553
Mg I,2585.553
Mg I,2588.279
Mg I,2588.279
Mg I,2592.274
Mg I,2595.014
Mg I,2595.973
Mg I,2602.496
Mg I,2603.8549999999996
Mg I,2603.8549999999996
Mg I,2606.62
Mg I,2606.62
Mg I,2613.136
Mg I,2614.724
Mg I,2615.92
Mg I,2617.5119999999997
Mg I,2628.6639999999998
Mg I,2630.052
Mg I,2630.053
Mg I,2632.873
Mg I,2632.874
Mg I,2643.349
Mg I,2646.198
Mg I,2646.207
Mg I,2649.062
Mg I,2668.123
Mg I,2669.5519999999997
Mg I,2669.554
Mg I,2672.459
Mg I,2672.46
Mg I,2693.722
Mg I,2695.179
Mg I,2698.141
Mg I,2731.994
Mg I,2733.4930000000004
Mg I,2733.494
Mg I,2736.539
Mg I,2736.541
Mg I,2736.541
Mg I,2768.34
Mg I,2776.587
Mg I,2776.6899999999996
Mg I,2778.1349999999998
Mg I,2778.2709999999997
Mg I,2779.82
Mg I,2779.8340000000003
Mg I,2781.282
Mg I,2781.4159999999997
Mg I,2782.971
Mg I,2809.755
Mg I,2809.756
Mg I,2811.0480000000002
Mg I,2811.05
Mg I,2811.051
Mg I,2811.777
Mg I,2811.7799999999997
Mg I,2846.7169999999996
Mg I,2848.344
Mg I,2848.3460000000005
Mg I,2851.652
Mg I,2851.6539999999995
Mg I,2851.656
Mg I,2852.126
Mg I,2915.453
Mg I,2936.741
Mg I,2938.473
Mg I,2941.994
Mg I,3091.0640000000003
Mg I,3092.982
Mg I,3092.9860000000003
Mg I,3096.884
Mg I,3096.8869999999997
Mg I,3096.891
Mg I,3290.0599999999995
Mg I,3291.059
Mg I,3329.919
Mg I,3332.146
Mg I,3336.674
Mg I,3627.628
Mg I,3789.5690000000004
Mg I,3793.163
Mg I,3797.169
Mg I,3801.862
Mg I,3807.408
Mg I,3814.017
Mg I,3821.993
Mg I,3829.355
Mg I,3831.676
Mg I,3832.299
Mg I,3832.3039999999996
Mg I,3838.2709999999997
Mg I,3838.29
Mg I,3838.2920000000004
Mg I,3838.295
Mg I,3843.698
Mg I,3852.0170000000003
Mg I,3858.86
Mg I,3878.306
Mg I,3890.1780000000003
Mg I,3891.906
Mg I,3893.304
Mg I,3895.572
Mg I,3898.059
Mg I,3899.46
Mg I,3903.859
Mg I,3938.3999999999996
Mg I,3986.7529999999997
Mg I,4054.688
Mg I,4057.505
Mg I,4099.787
Mg I,4165.101000000001
Mg I,4167.271
Mg I,4351.906
Mg I,4354.528
Mg I,4380.376
Mg I,4409.923
Mg I,4702.991
Mg I,4730.029
Mg I,5167.321
Mg I,5172.684
Mg I,5183.604
Mg I,5345.976000000001
Mg I,5345.976000000001
Mg I,5509.597
Mg I,5509.597
Mg I,5528.405000000001
Mg I,5711.088
Mg I,5785.313
Mg I,5785.561
Mg I,5785.672
Mg I,6287.63
Mg I,6318.717000000001
Mg I,6319.237000000001
Mg I,6319.494999999999
Mg I,6630.8330000000005
Mg I,6765.45
Mg I,6765.45
Mg I,6799.000999999999
Mg I,6799.000999999999
Mg I,6841.084
Mg I,6894.918
Mg I,6965.409
Mg I,6965.409
Mg I,7060.414
Mg I,7060.414
Mg I,7193.184
Mg I,7193.184
Mg I,7291.055
Mg I,7387.689
Mg I,7387.689
Mg I,7541.590999999999
Mg I,7543.465999999999
Mg I,7543.465999999999
Mg I,7547.309
Mg I,7547.309
Mg I,7560.531
Mg I,7560.531
Mg I,7560.542
Mg I,7560.542
Mg I,7560.542
Mg I,7560.549
Mg I,7564.454
Mg I,7568.318
Mg I,7594.84
Mg I,7596.741
Mg I,7596.741
Mg I,7600.639
Mg I,7600.639
Mg I,7602.456
Mg I,7602.456
Mg I,7602.467000000001
Mg I,7602.467000000001
Mg I,7602.467000000001
Mg I,7602.474
Mg I,7623.400000000001
Mg I,7627.325
Mg I,7655.111000000001
Mg I,7655.111000000001
Mg I,7655.122
Mg I,7655.122
Mg I,7655.128999999999
Mg I,7657.603
Mg I,7659.152
Mg I,7659.901
Mg I,7663.244999999999
Mg I,7665.1810000000005
Mg I,7665.1810000000005
Mg I,7669.148999999999
Mg I,7669.148999999999
Mg I,7691.553
Mg I,7691.553
Mg I,7699.67
Mg I,7703.674
Mg I,7722.583
Mg I,7722.583
Mg I,7722.593000000001
Mg I,7722.593000000001
Mg I,7722.601
Mg I,7746.345
Mg I,7753.255
Mg I,7755.236
Mg I,7755.236
Mg I,7759.298
Mg I,7759.298
Mg I,7801.041
Mg I,7805.151
Mg I,7811.122
Mg I,7811.122
Mg I,7811.133
Mg I,7811.133
Mg I,7811.133
Mg I,7811.141
Mg I,7875.434
Mg I,7877.478
Mg I,7877.478
Mg I,7881.669000000001
Mg I,7881.669000000001
Mg I,7930.794
Mg I,7930.794
Mg I,7930.8060000000005
Mg I,7930.8060000000005
Mg I,7930.8060000000005
Mg I,7930.814
Mg I,7940.195
Mg I,7944.4529999999995
Mg I,7949.179
Mg I,7953.447
Mg I,8047.72
Mg I,8049.855
Mg I,8049.855
Mg I,8054.231
Mg I,8054.231
Mg I,8098.707
Mg I,8098.707
Mg I,8098.719
Mg I,8098.719
Mg I,8098.719
Mg I,8098.727
Mg I,8139.2119999999995
Mg I,8143.686
Mg I,8152.4490000000005
Mg I,8154.64
Mg I,8159.130999999999
Mg I,8209.835000000001
Mg I,8213.012999999999
Mg I,8213.012999999999
Mg I,8213.034
Mg I,8303.312
Mg I,8305.585
Mg I,8305.596000000001
Mg I,8310.255
Mg I,8310.264
Mg I,8346.106
Mg I,8346.106
Mg I,8346.119
Mg I,8346.119
Mg I,8346.119
Mg I,8346.128
Mg I,8439.65
Mg I,8444.461
Mg I,8466.486
Mg I,8468.849
Mg I,8473.693
Mg I,8534.616
Mg I,8609.727
Mg I,8707.135
Mg I,8710.173999999999
Mg I,8712.676
Mg I,8712.689
Mg I,8717.803
Mg I,8717.816
Mg I,8717.825
Mg I,8736.006
Mg I,8736.006
Mg I,8736.019
Mg I,8736.019
Mg I,8736.019
Mg I,8736.029
Mg I,8778.261
Mg I,8780.717
Mg I,8806.756000000001
Mg I,8836.992
Mg I,8923.569
Mg I,8928.827
Mg I,8934.212
Mg I,8935.207
Mg I,8989.028
Mg I,8991.692000000001
Mg I,8997.153
Mg I,9004.921
Mg I,9015.983
Mg I,9157.635
Mg I,9246.508
Mg I,9255.722
Mg I,9255.778
Mg I,9259.719000000001
Mg I,9273.454
Mg I,9414.951
Mg I,9414.951
Mg I,9414.967
Mg I,9414.967
Mg I,9414.978
Mg I,9414.978
Mg I,9414.994
Mg I,9418.35
Mg I,9429.814
Mg I,9432.744999999999
Mg I,9432.764
Mg I,9438.755
Mg I,9438.774
Mg I,9438.782
Mg I,9490.059
Mg I,9502.451
Mg I,9649.508
Mg I,9665.479
Mg I,9821.617
Mg I,9828.132000000001
Mg I,9983.188
Mg I,9986.474
Mg I,9993.210000000001
Mg II,2790.777
Mg II,2795.528
Mg II,2797.9289999999996
Mg II,2797.998
Mg II,2802.7050000000004
Mg II,2928.633
Mg II,2936.51
Mg II,3613.7799999999997
Mg II,3848.2110000000002
Mg II,3848.341
Mg II,3850.3859999999995
Mg II,4481.126
Mg II,4481.15
Mg II,4481.325
Mg II,7877.054
Mg II,7896.0419999999995
Mg II,7896.366
Mg II,8213.987
Mg II,8234.636
Mg II,9218.25
Mg II,9244.265
Si II,3853.665
Si II,3856.018
Si II,3862.5950000000003
Si II,5957.559
Si II,5978.93
Si II,6347.109
Si II,6371.371
S I,3680.596
S I,3961.974
S I,3962.478
S I,3962.87
S I,4032.249
S I,4032.843
S I,4034.0280000000002
S I,4157.697999999999
S I,4426.919
S I,4429.142
S I,4431.435
S I,4694.112999999999
S I,4695.443
S I,4696.252
S I,5278.128000000001
S I,5278.7
S I,5278.993
S I,5498.195
S I,5501.562
S I,5507.005
S I,5605.272
S I,5608.755999999999
S I,5614.397
S I,5696.966
S I,5700.58
S I,5706.423999999999
S I,5879.7080000000005
S I,5883.541
S I,5889.749000000001
S I,5961.210999999999
S I,6041.888
S I,6041.907
S I,6041.943
S I,6045.954000000001
S I,6045.991
S I,6046.027
S I,6052.583
S I,6052.673999999999
S I,6081.838
S I,6082.735000000001
S I,6083.177
S I,6172.821
S I,6173.584
S I,6173.745
S I,6174.963
S I,6175.845
S I,6395.1630000000005
S I,6396.154
S I,6396.644
S I,6403.61
S I,6408.157
S I,6415.522
S I,6535.58
S I,6536.336
S I,6536.614
S I,6537.125999999999
S I,6537.882
S I,6538.596
S I,6743.4400000000005
S I,6743.531000000001
S I,6743.64
S I,6748.573
S I,6748.682
S I,6748.8369999999995
S I,6756.851000000001
S I,6757.007
S I,6757.170999999999
S I,6992.846
S I,6994.031
